,Akuapem Twi
18217,Kan no na medwen sɛ Asamoa ho yɛ fɛw
18218,Keteke bɛn na woreforo?
18219,Misusuw sɛ metumi ada yiye anadwo yi.
18220,Gyae wɔ ha.
18221,Asɛ Asamoa ani so yɛ no wann
18222,Wɔkɔɔ so ko tiaa atamfo no afe biara.
18223,"Sɛ yɛnantew a, yɛbɛka akyi pɛɛ."
18224,Asamoa nni adwuma a ɔyɛ no daa.
18225,Na ayɛ sɛ nea yɛn kyerɛkyerɛfo no bo afuw.
18226,Ogya atɔ ɔdan no atifi.
18227,"Na minim sɛ ɛyɛ wo, Asamoa"
18228,Saa dan no ho bɛwɔ asiane.
18229,Yɛyɛ nsɛnkyerɛwfo.
18230,Merefi Boston.
18231,Ɛnsɛ sɛ yɛyɛ eyi bio.
18232,hwie nsu no fi bokiti no mu.
18233,"M'awoda a ɛreba no, medi mfie dunsia"
18234,Abeawa bi fi nnipadɔm no mu kɔɔ ɔhene no anim.
18235,Asamoa hyiaa ne yere bere a na ɔresua ade wɔ Germany.
18236,Hena na ɔbɛhwɛ abofra no?
18237,Me maame wɔ hɔ.
18238,Asamoa rebu animtia kɛkɛ.
18239,Mmofra a wonnii mfe anum no wɔnnye wɔn sika biara.
18240,Asamoa yɛ agya pa.
18241,Asamoa nnim bere pɔtee a Abena bɛba.
18242,Menyɛ panyin nsen no.
18243,Hena na ɔde nhwiren bɛbrɛ me?
18244,Polisifo hwɛ sɛ nkurɔfo bedi mmara so.
18245,Mihui ntɛm ara sɛ biribi atɔ sin.
18246,Na mente nea wɔreka ho asɛm no pii ase.
18247,Dwowda na ɛsɛ sɛ wowie saa adwuma yi.
18248,Abɔmmɔfo no too tuo bɔɔ nankwaasere bi.
18249,Ɛnyɛ pon ko no ano na mekɔe
18250,Ɔwɔ nwoma pii a ɛsom bo.
18251,Ɛsɛ sɛ miwie nneɛma bi ansa na makɔ.
18252,Mempɛ w'asɛm sɛ wo ara
18253,Asamoa ntumi nhu mmuae no yiye.
18254,Nsu yɛ nsu.
18255,Boa me ma memma ɔbo yi so.
18256,Sukyerɛmma no amma yɛantumi ampue.
18257,Hena na owiaa me kɛntɛn a nam wɔ mu no?
18258,Nneɛma pii faa w'ase.
18259,Mepɛ baabi a mɛtra.
18260,So yehia wiase kasa baako?
18261,Ɔkɔɔ afahyɛ pii ase.
18262,"Sɛ wohu a, wobeyi me adi."
18263,Yɛbefi ase wɔ nɔnhwere 2:30.
18264,Nwoma yi sua.
18265,Nhwiren pii wɔ saa turo yi mu.
18266,Asamoabetumi  ate wo nka no.
18267,Paapa reba fie ɔkyena.
18268,Mepɛ sɛ me ne obi a ɔhwɛ hɔ kasa.
18269,Makɔ Amerika mprenu.
18270,Mehia mpaboa foforo.
18271,ɔkɔm nne wo?
18272,Misusuw sɛ woyɛ ɔtorofo.
18273,Afidie a wɔde tintim nwoma no hia krataa.
18274,Meda mo ase sɛ moama m'aso ate.
18275,Asamoa nte ase besi nnɛ.
18276,Asono ase betumi atɔ
18277,Ɔyɛ ɔkyerɛkyerɛfo mmom sen sɛ ɔyɛ ɔkyerɛwfo.
18278,Bere bɛn na wopɛ sɛ woyɛ eyi?
18279,Obi sɔɔ me mu fii m'akyi.
18280,Kuruwa a m'ani gye ho pa ara na wobuu no seesei ara no
18281,Meda so ara yɛ ankonam.
18282,Asamoa yɛɛ adwuma te sɛ obi a ne bo afuw.
18283,Wanyin sen no mfe abien.
18284,Huttera gye toom sɛ odii mfomso.
18285,Asamoa nhaw obiara da.
18286,"Nokwarem no, ɛyɛ nokware."
18287,Mansusuw da sɛ mɛyɛ adwuma ama wo.
18288,So biribi asesa?
18289,Ɛda a ɛyɛ anigye bɛn ara ni!
18290,Moyɛ asuafo foforo.
18291,"Nea ɛsɛee asɛm no koraa ne sɛ, osu fii ase tɔe."
18292,Asamoa ka kyerɛɛ Abenaa sɛ mma ɔnsɛe ne bere.
18293,Wɔtee atuotoɔ abiɛsa.
18294,Asamoa mpɛ sɛ anɔpatutuutu sɔre.
18295,Na Asamoa nanabarima yɛ akoa.
18296,Hwɛ na woampue nnɛ.
18297,Mewɔ akyɛde fɛfɛ bi de ma wo.
18298,Mɛbɔ wo apira wo!
18299,Na agorudi wɔ agoruprama no so yɛ anigye.
18300,Dɛn nti na wopoo n'abisade no?
18301,Ɔbarima a ɔte me nkyɛn no ne me kasae.
18302,Gyina pintinn!
18303,M'abusuafo nyinaa te saa kurow yi mu.
18304,"Sɛ wobɔ mmɔden a, wubetumi ayɛ."
18305,Onnim sɛnea yeguare.
18306,Mepɛ sɛ mibisa no ne tɛlɛfon nɔma.
18307,Mihyiaa no wɔ abɔnten mpofirim.
18308,Hwɛ mu yiye
18309,Ɔtare no faa kodoɔ no kɔɔ ase.
18310,Meyɛ m'ade basabasa
18311,Ɛho nhia sɛ ɔyɛ adwuma.
18312,Ɛhe na abodoo a wɔde di dwuma no wɔ?
18313,Yehia kai.
18314,So wo sukuu mmɛn wo fie koraa?
18315,Oduu fie pɛ na ofii ase dii kɔmputa so agoru bi.
18316,Asamoa yɛ kɔwensani
18317,"Sɛ wannom sigarete da koro mpo a, ontumi."
18318,Asamoa annyaw me kwan foforow biara.
18319,Ɔdɔ a na ɔwɔ ma afoforo no kaa me koma.
18320,Mesuro sɛ osu bɛtɔ ɔkyena.
18321,Na ɛyɛ ahude kɛkɛ.
18322,Eyi mfa Asamoa ho koraa.
18323,Biribi wɔ hɔ a ɛsɛ sɛ mihu.
18324,"Sɛnea ɛte no, dapɛn biara nneɛma bo kɔ soro."
18325,Adɛn nti na yɛnkɔ mu?
18326,Meda wo ase. m'adamfo
18327,"Ɛkame ayɛ sɛ Fida anadwo biara, Asamoah ne ne nnamfo di  poka agoru"
18328,Mempɛ ɛno.
18329,Hena na ɔpaee kuruwa no?
18330,"Me werɛ howee, nanso Asamoa maa m'ani gyee."
18331,Komunisfo bedii tumi wɔ China wɔ afe 1949 mu.
18332,Ɛnyɛ me sɛ Asamoa begye atom
18333,Na medwene sɛ wompɛ sɛ woba.
18334,Nnye nnipa a wɔka sɛ wonim biribiara no nni.
18335,Canadani biara renka saa da.
18336,Mehwɛ kwan sɛ ɔbɛba bere biara.
18337,Asamoa anyɛ ne ho sɛ ɔbɛma asɛmmisa no ho mmuae.
18338,Mede me mfoninitwa afiri no kɔ baabiara a mekɔ.
18339,Yɛyɛɛ adwuma wɔ afuw bi mu wɔ ahohuru bere a etwaam no mu.
18340,Ɛsɛ sɛ wode nsɛm mpɛnsɛnpɛnsɛn mu pii ka amanneɛbɔ no ho.
18341,M'ani nnye saa.
18342,Ɛsɛ sɛ mmofra tie wɔn awofo asɛm.
18343,Adɛn nti na wubuu w'ani guu Franse kasa sua so?
18344,Asamoa yam ye.
18345,Mepɛ sɛ me ne no pue.
18346,Minni nuabea kumaa.
18347,So asikyire wɔ hɔ?
18348,Mepɛ sɛ m'adwumayɛfo nyinaa di me nokware turodoo
18349,Ɔbedu hɔ simma du.
18350,Ɔbɔɔ ne din bio nkakrankakra.
18351,Ɛsɛ sɛ wo ne wo nnamfo di wo sika kakra a aka no
18352,Na ɛyɛ no ayayade sɛ obehu ne mpena ne ɔbarima foforo.
18353,Asamoa ne Abena suro John.
18354,Aba no bo yɛ sɛn?
18355,Mepɛ ɔkraman no mfoni.
18356,Adɛn nti na wunni agoru wɔ abɔnten?
18357,Yeduu mfikyire hɔ no yɛkɔtoo paradi no so.
18358,Misusuw sɛ ɛsɛ sɛ wotwɛn.
18359,Bere bɛn na woduru sukuu?
18360,"Yɛsrɛ wo, yɛ kasamu no yiye."
18361,"Saa anadwo no, na mewɔ hɔ."
18362,Minnii biribiara a ɛyɛ dɛ sɛ eyi da.
18363,Ebewie yiye
18364,Asamoa buu n'ani guu Abena afotu no so.
18365,Ɛyɛ ayaresabea yi na mekɔɔ hɔ bosome a etwaam no.
18366,Deɛn na wubedi awia yi?
18367,Na Asamoah pɛ sɛ ɔka pii ka ho.
18368,Wɔne wɔn ho sii akan maa nkonimbo no.
18369,Na ɛsɛ sɛ meyɛ biribi.
18370,Wubetumi ahu mmoa pii wɔ kwae yi mu.
18371,"Me din de Pekka, wo din de sɛn?"
18372,So wopɛ sɛ woka biribi?
18373,Wɔkɔtotɔ nneɛma.
18374,So saa bere yi yɛ bere bɔne a ɛsɛ sɛ yɛbɔ nkɔmmɔ?
18375,Kwasida biara me nanabarima kɔ asɔre.
18376,Na ɛho nhia sɛ meyɛ saa amonom hɔ ara.
18377,Nnamfo baanu no ka.
18378,Ɔkae se ohyiaa no da a etwaam no.
18379,Wubetumi abɔ nsɛntitiriw yi mua?
18380,Asɛ Asamoa nim ade.
18381,So metumi afi ase?
18382,"Na biribiara nni hɔ obetumi ayɛ, gye sɛ oguan."
18383,Na Asamoa de nna dodow no ara srɛ sika wɔ ahɔho nsrahwɛfo beae ahorow anim.
18384,Asɛ kɛse ara na ɔreyɛ
18385,Mebɔɔ mmɔden sɛ mede m'abambu no sie.
18386,Sɛ wanhu ne ba no a obekum ne ho.
18387,Merekyere kyerɛwsɛm bi agu me tirim.
18388,"Ɛnnɛ, menantewee kilomita 10"
18389,Abeawa a ɔyɛ adwuma wɔ beae a wɔto paanoo no ho yɛ fɛ.
18390,Wɔsawee.
18391,Asamoa boaa ne ho
18392,Ne dan mu sua koraa.
18393,Na ne tenten yɛ anammɔn awɔtwe.
18394,Ɛdaa adi pefee sɛ na n'ani awu.
18395,Ɔbarima no ne ne yere boaa wɔn ho wɔn ho.
18396,Bere a owiee n'adwuma pɛ na ɔkɔɔ fie.
18397,Asamoa ani nnye.
18398,Otwi Cadillac penke.
18399,Nti na ne bo yɔ dɔla ahasa ankasa?
18400,Asamoa boaa Abena ma ɔforoo kai.
18401,Onuu ne ho sɛ wankɔ hɔ da.
18402,Mfaso biara nhyɛda nni so.
18403,Me sɔɔkoso no gu so ara afɔ.
18404,Wɔfrɛɛ no nnip dodow awudi.
18405,Mfaso pii wɔ kurow kɛse tena mu.
18406,"Ɛnnɛ, mihyiaa me filɔsɔfi kyerɛkyerɛfo foforo no."
18407,"Wayɛ w'adwene sɛ wo ne Abena bɛkɔ asaw, ɛnte saa?"
18408,Asamoa kotwii sakre.
18409,Ná mintumi nnyina atɛnnidi ano bio.
18410,Ne nyinaa yɛ me mfomso.
18411,Asamoa ani nnye Abena ho.
18412,Minni biribiara ka.
18413,Ɔdan no toa so ason.
18414,Meda mo ase pii sɛ motoo nsa frɛɛ me.
18415,Nhwɛ me saa
18416,Asamoa ne Abena few wɔn ho ano deneennen.
18417,Wanni wɔ fam dodow wɔ ade a wopɛ sɛ wobɔ no so
18418,Asamoa da so ara dɔ Abena.
18419,Asamoa sii gyinae.
18420,Ma menhwɛ w'ahiade ahorow.
18421,So woagyina wimhyɛn mu pɛn?
18422,Obiara rehwɛ Asamoa.
18423,Eyi nyɛ kasamu.
18424,Asamoa nkae ne nanabarima no.
18425,Na eyi yɛ Asamoa agua.
18426,Asamoa de ne haw siee ne yere.
18427,Abarimaa no yɛɛ ne ho sɛ ɔyare dodo sɛ ɔbɛkɔ sukuu.
18428,Obiara nni gyaade hɔ.
18429,"Sɛ wompɛ sɛ woyɛ eyi a, ɛho nhia sɛ woyɛ saa."
18430,Ɔman mu no nyinaa pene amanyɛsɛm mu nsakrae.
18431,Migye di sɛ wo ho bɛtɔ wo wɔ ha.
18432,Na ɛsɛ sɛ wudi keeki kakra.
18433,"Yɛsrɛ wo, to wo bo."
18434,Woguanee.
18435,Midii n'akyi kɔɔ ne dan mu.
18436,Asamoa ani bere ade paa nti pa ara yiye
18437,Hu ara na na mehu abeawa a n'awofo wuu wɔ akwanhyia no mu no mmɔbɔ.
18438,Asɛ Asamoa ho yɛ den.
18439,Afiri a ɛma mframa mu yɛ nwunu wɔ saa kai yi mu
18440,Kɔ ɛ.
18441,Mempɛ sɛ midi agoru bio.
18442,Na Asamoa dwene sɛ Abena betumi abo John.
18443,Ɛyɛ asɛm bi a mekae?
18444,Asamoa yɛ mmirikatufo a neho yɛ hare.
18445,Me werɛ afi sɛ mede biribi bɛka ho abɛkyerɛw.
18446,Medwene sɛ sɛ Asamoa yɛ n'adwene sɛ ɔbɛyɛ a obetumi ayɛ
18447,Afe biako wɔ bosome dumien.
18448,Mepaakyɛw frɛ kai ma ɔbea yi.
18449,Asamoa ampene so sɛ ɔbɛka Franse kasa no.
18450,Ɔte kurow no atɔe fam.
18451,"Bosome a ɛreba yi, yebetu akɔ beae foforow."
18452,Adɛn nti na wugye di sɛ Asamoa di fɔ?
18453,Me ne wo na ɛrekɔ abom
18454,Asamoa foro faa ban no so no.
18455,Sɛnea saa hotɛɛle yi ani hwɛ po no yɛ fɛw mmoroso.
18456,Asamoa betumi aboa.
18457,Wim nwini nsusu no yɛ 40 ne fam
18458,Adɛn nti na Asamoa bekum Abena?
18459,Mihu nea woreyɛ.
18460,Nsɛe wo mmere wɔ nneɛma a ɛho nhia pii so.
18461,"Sɛ mene wo a anka, mebisa no."
18462,Asamoa kɔdaa afiase wɔ adanbu adewia ho soboɔ ho.
18463,Onnim sɛnea ɔde ne din bɛhyɛ krataa ase mpo.
18464,"Sɛ wunni hɔ a, ɛnsɛ sɛ mekɔtotɔ nneɛma da."
18465,Na ɔhyɛ ataade fitaa.
18466,Minnim sɛnea wogye nsusuwii hunu a ɛte saa adi.
18467,Nwi bi wɔ me nkwan mu.
18468,Ɛyɛɛ dɛn na wuhui sɛ meyɛ Canadani?
18469,So w'ani gye ho?
18470,Meyɛ karate kuw no mu nipa.
18471,Aduru bere a ɛsɛ sɛ yedidi?
18472,So ɛyɛ nokware sɛ Abena kum ne kunu?
18473,Yɛn wiase yi yɛ amansan yi fã ketewaa bi pɛ.
18474,ɔyarehwɛfo no susuu ne ho nwini no
18475,Makwadare mu te sɛ Asamoa
18476,N'ani annye n'abusua ho.
18477,Wɔtoo nsa frɛɛ me sɛ memmra awoda apontow no ase.
18478,Ma yensusuw asɛm no ho yiye.
18479,"Asamoa kae se, na onnim nea ɛsɛ sɛ ɔyɛ."
18480,Mekɔɔ nnwonto dwumadi bi ase.
18481,"Bere a esii no, na misua koraa."
18482,"Ɛnnɛ, nkongua foforo no bae."
18483,Ɛha na wɔtaa didi.
18484,Na ɛsɛ sɛ mebɔ mmɔden.
18485,"Asamoa wɔ anidaso, ɔhwɛ nneɛma pa kwan."
18486,Asamoa wɔ afie abien ne kodoɔ.
18487,Wususuw sɛ eyi yɛ nkwaseasɛm?
18488,"Woyɛ ne nua, ɛnte saa?"
18489,Merekosua Franse kasa.
18490,Wɔbeduruu baabi a na yɛaduru no ntɛm.
18491,Ɛyɛ me dɛ sɛ manya no adamfo.
18492,Wɔsii.
18493,Posti saa krataa yi.
18494,Mintumi nkyerɛ m'adwene yiye wɔ German kasa mu ma wɔate m'ase.
18495,"Sɛ osu tɔ a, na yɛn akwan yiri."
18496,So wotee nea ɔkae no ase?
18497,Fa nnipa di wa'kyi
18498,Mekasae.
18499,Asamoa mpɛ sɛ ɔne wo begye akyinnye.
18500,Wuhia safoa a wode bebue adaka no.
18501,"Seesei de,me ne Asamoa nware bio."
18502,Ɔboa maa ɔmanfo no dii yiye.
18503,"Ɛnsɛ sɛ wode mmere pii nwiinwii, na emmom fa mmere dodow no yɛ biribi a mfaso wɔ so."
18504,Minnim sɛ meda so ara wɔ a.
18505,Yɛn kuw no betumi adi nkonim.
18506,"Ná wɔpɛ sɛ metɔn nnubɔne ma wɔn, nanso manyɛ."
18507,Yɛn bɔɔso no ne lɔre bi ka hyiaae.
18508,Asamoa pɛ sɛ meyɛ ayeforohyia no ho nhyehyɛe.
18509,Mekae nea ɔkae no.
18510,John sɔre ntɛm sen sɛnea na ɔtaa yɛ no.
18511,Kaseɛbɔ mmere aso wɔ Channel 79
18512,Momma yɛnkɔ fie.
18513,Na ɔyarefo no da mpa no so a wakata n'ani .
18514,Adɛn nti na ɛyaa Asamoa mpɛ sɛ odi mpataa?
18515,Sɛ wunim nea yedi ne dodow a yedi ho hia ma akwahosan pa.
18516,Ɛno abu.
18517,Hwɛ sɛnea ne ho yɛ fɛ fa!
18518,Wɔhuu abofra a na wayera no wɔ nnanu akyi.
18519,Asamoa mpɛ sɛnea Abena serew no
18520,Nneɛma pii wɔ asetra mu a yennim.
18521,Yɛwɔ anidaso sɛ ɔko no bɛba awiei nnansa yi ara.
18522,"Sɛ wubetumi ayɛ saa a, ɛsɛ sɛ wutumi de wo ho to  asiane mu."
18523,"Sɛ edu awɔw bere a, nsukyenee ne sukyerɛmma kata supɔw no so."
18524,Ɛte sɛ aprɛ.
18525,Meho wɔ mfomso.
18526,Akyinnye biara nni ho sɛ Asamoa wɔ ɔkwan bi a ɔfa so ma mmofra ne no ka.
18527,Nyinkyɛ na ekumee Asamoa.
18528,Yebetumi atu no
18529,Ma yenni ɔhaw yi ho dwuma mmom.
18530,Na agode no da fam.
18531,Wɔtow hyɛɛ atamfo no so.
18532,Ne nne yɛ dɛ sɛ wubetie.
18533,Sɛ wɔsiesie kai no brake nko ara a na mɛtɔ.
18534,Woasiesie ɛngyin no.
18535,Wokae se wonte ase.
18536,Eyi yɛ mfoninitwa afiri a ɛyɛ papa
18537,Ɔbɛwɔ ha nnɛ.
18538,Yɛn adidibea yɛ sen saa adidibea no.
18539,Yegyee yɛn ani pii boo mu.
18540,Metaa haw.
18541,So wubetumi adi saa ahintasɛm yi ho dwuma?
18542,Manso dae.
18543,"Emu nea ɛwɔ he na eye, aduaba anaa kwadu?"
18544,"Sɛ wo hokafo yɛ ɔmanyɛfo a, ɛnyɛ nwanwa  sɛ wo din nso bɛba  dawurubɔ krataa bere ano bere ano."
18545,So ataade yi fata me?
18546,Wuntumi nyɛ saa wɔ ha.
18547,Asamoa bɛkae.
18548,Makɔ Canada pɛn.
18549,Mekenkan New York Times.
18550,Adɛn nti na wunni po so hyɛn no mu dedaw?
18551,Eyi maa nnipa pii ho dwiriw wɔn.
18552,Migye di sɛ wunim nea eyi kyerɛ ankasa.
18553,So wowɔ bere Benada?
18554,Ɛrenyɛ trenenee
18555,Dɛn na esii Dwowda no?
18556,"Nsɔ onifuraefo nsa da, ma ɔno nsɔ wo de mu"
18557,Mmɔden a yɛbɛbɔ sɛ yebesiesie eyi no yɛ bere sɛe.
18558,So w'ani sɔ nkyerɛkyerɛmu a mede rema wo no?
18559,So wate ase?
18560,Sɔ TV no.
18561,"Awerɛhosɛm ne sɛ, osu tɔe."
18562,Asamao ne Abena taa di anwumere aduane bom.
18563,Asamoa gyee Abena nɔma ɛna Abena nso gyee ne nɔma wɔ apontow no ase.
18564,Obi wɔ aguare hɔ seesei.
18565,"Ɛyɛ hena? ""Ɛyɛ me"""
18566,Asamoa kae se ɔdɔ Abena.
18567,Abɔde mu nyansapɛfo ahu nsu wɔ okyinnsoroma Mars so
18568,Wohyɛɛ bɔ sɛ wubegyina me nkyɛn wɔ tebea a emu yɛ den ne nea emu yɛ den mu.
18569,Ɔsram biara mete m'adamfo no nka.
18570,W'ani gyei.
18571,Minim sɛ wonkae me.
18572,Ɛnyɛ sɛ wonna ntɛm anadwo dasum mu.
18573,"Biribi ka kyerɛ me sɛ, ebesi Asamoa yiye"
18574,Wannya adwuma no.
18575,Ehia sɛ mihu wo ankasa.
18576,Ɛbɛyɛɛ sɛ na barima no yɛ obi a ɔhwehwɛ ankorankoro nsɛm mu.
18577,Nwoma pii wɔ me dan mu.
18578,"Ofii ntoaso sukuu mu no, na wadi mfie dunson"
18579,Nhyehyɛe no kyerɛ deɛn?
18580,Wɔyɛ Russiafo.
18581,Yɛwɔ nhyehyɛe.
18582,"Nnawɔtwe akyi no, ofie no dwiriw gui."
18583,ofirikafo no tuu yɛn fo sɛ yɛmmɔ yɛn akongua mu bɛlt no.
18584,Asamoa ɔhyɛɛ kaakaamotobi de kataa onii ko a ɔyɛ so.
18585,Nni adode no
18586,Ɛsɛ sɛ me ne Asamoa kasa.
18587,Asamoa kae se na ontumi nyɛ hwee.
18588,Nea ɔka no yɛ nokware.
18589,Wɔbɛpɛ sɛ wɔtwe n'aso.
18590,Wɔde ban atwa fie no ho ahyia.
18591,Saa adwuma yi nnu yɛn ahwehwɛde ahorow ho.
18592,Eyi nyɛ nea makwadare mu.
18593,ɛyɛ me nwonwa sɛ  w'ani nnye sɛnea m'ani agye no.
18594,Nnipa a wɔte nkurow akɛse mu wɔ aman a wɔgu so retu pɔn mu no  redɔɔso ntɛmntɛm.
18595,Na mepɛ sɛ meyɛ sɛnkyerɛwfo.
18596,Wɔrehwehwɛ barima no wɔ awudi bi a wadi.
18597,Wunim nea ɔka kyerɛɛ me.
18598,Ɛnan mmɔho num yɛ aduonu
18599,"Mekɔɔ akwamma, m'afifide da so te ase."
18600,"Nwomasua na ayɛ me sɛnea mete nnɛ yi,"
18601,Ɛnsɛ sɛ wodwen mfaso a wubenya no ntɛm ara no ho.
18602,"Onni yere, onni mma ne nnamfo."
18603,Me papa nim mpataayi yiye.
18604,Na Asamoa nnim da sɛ obetumi ayɛ nea ɔyɛe no.
18605,Na Asamoa nnim nea ɔreyɛ.
18606,Wɔyɛɛ nsakrae pii.
18607,Onyaa akwanhyia na obuu ne nan mu.
18608,Saa ɔbarima no adwene nyɛ ankasa!
18609,"Ɛsɛ sɛ metwa saa sɔhwɛ yi, ɛmfa ho nea ɛbɛba biara."
18610,F-14 yɛ U.S. Wim Asraafo wimhyɛn.
18611,Asamoa bisaa Abena sɛ wahu Yohane anaa.
18612,Bere bɛn na ɛno sii?
18613,Wantumi anhwɛ n'anim.
18614,Gyama Asamoa da so ara de ne ho resie.
18615,Meredwen ho sɛ mɛkɔ Europa.
18616,Wanni ne nhyiamu nhyehyɛe no so.
18617,Akyinnye biara nni ho sɛ nhyehyɛe a woayɛ no besi yiye.
18618,Ɛkame ayɛ sɛ Asamoa taa wɔ fie Kwasiada biara.
18619,Momma yɛmmɔ mmɔden nte yɛn ho yɛn ho ase.
18620,Kwan foforow a ɛmane fa baabi  wɔ ɔkwan no so
18621,Asamoa yɛ ɔbarima tenten.
18622,Wunnim nea ɛreba
18623,"Ɛdefa asaw ho no, obiara ntumi nsaw te sɛ Michael Jackson."
18624,Yɛrentumi mmu yɛn ani ngu so sɛ ebia nea ɛde bae no yɛ hwee-mfa-ho
18625,Me nsa kaa wo krataa no nnera.
18626,Deɛn na afei ebesi?
18627,Yɛanyɛ hwee.
18628,Asamoa de nna abiesa kaa tra a na tɔtra hɔ no so
18629,So w'ankasa na wotoo pai no ?
18630,"Sɛ obi na ɛsɛ sɛ wɔde ho asodi to no so a, ɛyɛ wo."
18631,Asamoa reprapra ne dan mu.
18632,Ehu kaa me kakra.
18633,Mɛpɛ sɛ metra fie sen sɛ mɛkɔ saa wim tebea yi mu.
18634,Mewɔ ɔkraman fɛfɛ bi.
18635,Gyama na ɛyɛ hu pa ara.
18636,Eyi ho hia dodo sɛ yebebu yɛn ani agu so.
18637,Ɛsɛ sɛ wunya abotare pii sua ɔman foforo so kasa.
18638,Mesuro ayaresabea.
18639,Me na mɛyɛ aduan no anadwo yi.
18640,So wɔyɛ anuanom?
18641,Na ɛsɛ sɛ mema Asamoa kɔ.
18642,Maba ha sɛ merebesua Franse kasa .
18643,Ɔremma me kwan mma menkenkan krataa no.
18644,Nsonsonoe bɛn na ɛwom?
18645,Ɛyɛɛ me nwonwa sɛ mihuu nnipa pii wɔ nnwonto no ase.
18646,Misusuw sɛ ɛsɛ sɛ yɛyɛ biribi a nyansa nnim.
18647,Mihuu Asamoa wɔ atrapoe no so.
18648,Wowɔ wɔɔkye bi.
18649,Yɛsrɛ sɛ kyerɛw da a wɔwoo wo no wɔ ha.
18650,Migye di sɛ wopɛ eyi.
18651,Nnipa pii bo afuw.
18652,Ɔyɛ m'adwuma mu panyin.
18653,Ɔne ne nnamfo kɔɔ aguadidan no mu.
18654,Mepɛ sɛ me so tew.
18655,Onim England abakɔsɛm yiye.
18656,"Mitumi ka China kasa, nanso mintumi nkenkan."
18657,Asamoa de ne nkesua nyinaa guu kɛntɛn biako mu.
18658,Ne nuabarima no kɔɔ keteke gyinabea hɔ kogyaa no kwan.
18659,Eyi yɛ nam pa.
18660,Asamoa antumi ankyerɛ n'atenka wɔ nsɛmfua mu
18661,Ɔyɛ abofra na n'adwene mu mmuei.
18662,Bere bɛn na wufi Tokyo bae?
18663,So ɛhyew de wo?
18664,Mepɛ tɛnese bɔ
18665,Minni bere a mede bɛkenkan saa nwoma no.
18666,Asamoa gye toom sɛ ɔno na odii kukiisi no nyinaa.
18667,Asamoa ka kyerɛɛ Abena  se onsusuw sɛ ɔno nkutoo kɔ hɔ.
18668,Wo nkutoo ne nipa a minim no sɛ m'atipɛnfo.
18669,Saa television yi mu yɛ duru yiye.
18670,"Sɛ yɛpɔn adwuma pɛ a, ɔkɔ nsatɔn beae hɔ a ɔmfa baabiara ansa"
18671,So ɛnyɛ dɛ?
18672,"Ɔno na ɔseɛ sɛ onnim ne ho hwee, nanso minnye no nni."
18673,Hwan na wobɛtow aba ama no?
18674,Wubetumi akenkan biribiara a wopɛ.
18675,Me ne no ankasa bio da.
18676,Abɔmmɔfo kum susono no.
18677,Na United States adi nkonim wɔ ɔsram akawantu no ho
18678,Yɛretopon anadwo yi.
18679,So wubetumi ne yɛn akɔ?
18680,Asamoa nim nea yɛyɛe.
18681,"Afei de, mewɔ biribiara a mihia."
18682,Yɛbɛkɔ akɔsra Asamoa.
18683,Ɛhe na adidibea a ɛbɛn no wɔ?
18684,Afe a etwaam yi ara na Asamoa ne Abena waree.
18685,Momma mo atuo no nto nkyɛn
18686,Onni sika saa.
18687,Mempɛ mmofra bɔne.
18688,Ɛno ammoa me kɛse.
18689,Memaa ɔkra no baa mu
18690,Hwɛ sɛnea asetra yɛ nwonwa fa!
18691,So wokae sɛ 30?
18692,"Sɛ yenim nea yɛreyɛ a, anka wɔmfrɛ no nhwehwɛmu, anaa?"
18693,Wopɛ sɛ woka ho asɛm pa ara seesei?
18694,Asamoa mpɛ w'asɛm
18695,Boa no.
18696,Asamoa kotodwe ayɛ kuru.
18697,Ɔde kai na ɛbae.
18698,Minhu nea enti a ɛte saa.
18699,N'ani nnye sika ho.
18700,Asamoa gyaa n'adaka no wɔ ne pono no so.
18701,Wuntumi nnom sigaret wɔ sukuu mu.
18702,Minnim sɛ woyɛɛ saa.
18703,Ɛsɛ sɛ ɔboa ne maame.
18704,Ɔsɛ ne maame.
18705,Mɛhwehwɛ mu yiye.
18706,Minim sɛ Asamoa nim.
18707,Asamoa yɛ ne nuabarima.
18708,Ɔkyena yɛrenya adaagye koraa
18709,Odurui nkyɛe.
18710,Mintumi nhu awiei no.
18711,Ehu kaa Asamoa
18712,Mfe abiesa ni na Asamoa dii kan hyiaa Abena.
18713,Ɔbarima no boaa me bere a na mewɔ ɔhaw mu no.
18714,Ɛkame ayɛ sɛ obiara ani gye aduan pa ho.
18715,Kɔ so ara ma suhyɛn no nkɔ
18716,Me babea no kɔtɔ nkongua foforow.
18717,Mikyi Boston.
18718,Asamoa retwitwa nnua no ho.
18719,Asamoa nkutoo ne nipa a Abena nim no a n'ani gye Opera ho
18720,Na Asamoa mmuae no nyɛ nokware.
18721,Ɛno ne mmuae papa
18722,Bisa no ne din.
18723,Mma nneɛma ntwetwe w'adwene.
18724,Bere bɛn na wokɔɔ Boston?
18725,Deɛn na wopɛ pa ara?
18726,Wo ware sen me.
18727,Mennom nsa da.
18728,So woatua tekiti no ho ka?
18729,John maa ne ti daa nsu no ani
18730,Ɔhwɛɛ n'adamfo no mmuae no so de wiaa sɔhwɛ no mu.
18731,Ɛsɛ sɛ mo nyinaa kenkan.
18732,"Efi bere a wɔyɛɛ me papa oprehyɛn no, n'apom ayɛ den"
